cidade,timestamp,data_hora,temperatura,umidade,condicao,vento,chovendo
Lavras,1768071105,2026-01-10 18:51:45,30.72,36,céu limpo,2.92,False
Lavras,1768071105,2026-01-10 18:51:45,30.72,36,céu limpo,2.92,False
Lavras,1768071105,2026-01-10 18:51:45,30.72,36,céu limpo,2.92,False
Lavras,1768071105,2026-01-10 18:51:45,30.72,36,céu limpo,2.92,False
Lavras,1768315662,2026-01-13 11:47:42,28.71,46,nublado,2.17,0
Lavras,1768315662,2026-01-13 11:47:42,28.71,46,nublado,2.17,0
Lavras,1768315662,2026-01-13 11:47:42,28.71,46,nublado,2.17,0
Lavras,1768316441,2026-01-13 12:00:41,28.71,46,nublado,2.17,0
